NORAD ID: 16769	 Latitude: 0.08712665689725971 deg	 Longitude: 39.61421709440453 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 18384	 Latitude: 11.143056088197374 deg	 Longitude: 144.12356332425284 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 18443	 Latitude: -10.77115004347306 deg	 Longitude: -29.03320269993032 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 18631	 Latitude: 3.879257325549317 deg	 Longitude: -155.38672139998658 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 18922	 Latitude: 1.8321841610224479 deg	 Longitude: 65.58541315920735 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 19330	 Latitude: 6.980355357262838 deg	 Longitude: 81.7193999416507 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 19344	 Latitude: 4.796845600208378 deg	 Longitude: 71.20171271320639 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 19483	 Latitude: -7.1815100071147855 deg	 Longitude: -105.68836274442745 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 19596	 Latitude: 11.984722496386466 deg	 Longitude: 134.80382336926192 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 19710	 Latitude: 10.50393321164673 deg	 Longitude: 110.78149981396652 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20253	 Latitude: 10.459680445465978 deg	 Longitude: 125.1053800937077 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20263	 Latitude: 9.231878033231617 deg	 Longitude: 98.86424634811851 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20367	 Latitude: -1.0799702898233705 deg	 Longitude: 47.31696861027182 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20473	 Latitude: -3.157612686262021 deg	 Longitude: 52.34973131892381 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20499	 Latitude: -12.657843746996765 deg	 Longitude: -31.929839153224567 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20659	 Latitude: 2.2183248240202444 deg	 Longitude: 63.90961832084668 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20776	 Latitude: -7.598887947781934 deg	 Longitude: 34.107816574434494 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20923	 Latitude: 13.065399445138523 deg	 Longitude: 141.36389478183955 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 20953	 Latitude: 1.8313855446776393 deg	 Longitude: 63.37541639398108 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21016	 Latitude: 8.56017759542247 deg	 Longitude: 96.14829372038596 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21038	 Latitude: 5.461910659492932 deg	 Longitude: 80.18872968997658 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21111	 Latitude: 2.415831867900397 deg	 Longitude: 71.0907485522868 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21132	 Latitude: -8.27906791421013 deg	 Longitude: 18.561761174953052 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21639	 Latitude: 12.150617645322459 deg	 Longitude: -166.73891934526353 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21702	 Latitude: -13.12214417051903 deg	 Longitude: -45.0502640523795 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 21789	 Latitude: -12.444414394521647 deg	 Longitude: -7.725020829425585 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22112	 Latitude: -13.80561222582469 deg	 Longitude: -24.721554548379263 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22210	 Latitude: 4.745409380903752 deg	 Longitude: 82.17306582794224 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22269	 Latitude: -13.524093550574618 deg	 Longitude: -11.905195689358914 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22557	 Latitude: -10.68184227624873 deg	 Longitude: 14.558583781906115 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22787	 Latitude: -9.341275414755657 deg	 Longitude: 29.23241175349996 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22836	 Latitude: 1.3121254845856254 deg	 Longitude: 70.67720377469722 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22911	 Latitude: 2.3579068906213183 deg	 Longitude: -108.53909430285478 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22981	 Latitude: -2.590213291141635 deg	 Longitude: 56.380960545763074 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 22988	 Latitude: 4.988447552709906 deg	 Longitude: -89.25480461729177 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23010	 Latitude: 8.309303092227918 deg	 Longitude: 101.54909664541087 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23108	 Latitude: -14.127726836883344 deg	 Longitude: -16.619988312724903 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23132	 Latitude: -11.78550448439413 deg	 Longitude: 9.342141513545267 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23267	 Latitude: -14.288752849346439 deg	 Longitude: -21.556265878553553 deg	 At 2025-07-06 00:00:00+00:00 UTC 
NORAD ID: 23322	 Latitude: -13.646654101969084 deg	 Longitude: -12.13602004175034 deg	 At 2025-07-06 00:00:00+00:00 UTC 
