Norad ID: 33153	Latitude: 0.3566150419221074 deg		Longitude: -31.45040442056896 deg
Norad ID: 33207	Latitude: 0.11420063136756124 deg		Longitude: -109.97593782683961 deg
Norad ID: 33275	Latitude: 1.9931629482814575 deg		Longitude: -124.88201790595656 deg
Norad ID: 33278	Latitude: 1.6164755407626192 deg		Longitude: -97.90007530748674 deg
Norad ID: 33373	Latitude: 0.03449653678766708 deg		Longitude: -81.97854402769693 deg
Norad ID: 33376	Latitude: -0.013195056673914305 deg		Longitude: -96.9699223933602 deg
Norad ID: 34111	Latitude: -0.03423293470762723 deg		Longitude: -37.55731300711834 deg
Norad ID: 35491	Latitude: 0.7912292519907008 deg		Longitude: -108.13280853951521 deg
Norad ID: 35493	Latitude: -0.011898244668167732 deg		Longitude: -86.16004362822046 deg
Norad ID: 35496	Latitude: 4.054415398527164 deg		Longitude: -110.88545301780519 deg
Norad ID: 35873	Latitude: -0.019482098555146408 deg		Longitude: -72.68000448547555 deg
Norad ID: 35942	Latitude: 0.634682037353971 deg		Longitude: -60.76670387165725 deg
Norad ID: 36097	Latitude: -0.025924037889218224 deg		Longitude: -44.96438576930023 deg
Norad ID: 36131	Latitude: -0.0002493028861079738 deg		Longitude: -102.74256929346375 deg
Norad ID: 36395	Latitude: 33.9800779851961 deg		Longitude: -101.95718457056043 deg
Norad ID: 36397	Latitude: -0.006577712553594289 deg		Longitude: -76.17398186117056 deg
Norad ID: 36499	Latitude: 0.007233220674624007 deg		Longitude: -118.86550174115568 deg
Norad ID: 36516	Latitude: -0.030559198316275297 deg		Longitude: -100.9739557638189 deg
Norad ID: 37185	Latitude: -0.02448500936839031 deg		Longitude: -115.19872137610881 deg
Norad ID: 37218	Latitude: 3.255995407782208 deg		Longitude: -101.18828089665872 deg
Norad ID: 37237	Latitude: 4.752656237433514 deg		Longitude: -123.36648884689947 deg
Norad ID: 37264	Latitude: 0.005207242743098689 deg		Longitude: -29.96539578189471 deg
Norad ID: 37344	Latitude: -3.819473625949536 deg		Longitude: -21.146526053720965 deg
Norad ID: 37392	Latitude: 0.21287005456305377 deg		Longitude: -31.671454045774237 deg
Norad ID: 37602	Latitude: -0.028676333941779864 deg		Longitude: -62.993831592068126 deg
Norad ID: 37748	Latitude: 0.43296199826381343 deg		Longitude: -102.96325644111856 deg
Norad ID: 37809	Latitude: -0.013244915777275873 deg		Longitude: -86.97663531505023 deg
Norad ID: 37826	Latitude: -0.018318963456188993 deg		Longitude: -76.9689207400768 deg
Norad ID: 37843	Latitude: 0.0068545888027253385 deg		Longitude: -115.08549577487369 deg
Norad ID: 38087	Latitude: -0.03642918985670579 deg		Longitude: -21.98380644635969 deg
Norad ID: 38101	Latitude: -2.2641903483592563 deg		Longitude: -28.392644927116375 deg
Norad ID: 38254	Latitude: -2.7521819356620205 deg		Longitude: -16.611207938867143 deg
Norad ID: 38342	Latitude: -0.010646857582001991 deg		Longitude: -91.09066355473392 deg
Norad ID: 38466	Latitude: 1.0723199588146184 deg		Longitude: -31.23833100056593 deg
Norad ID: 38551	Latitude: 0.01674801804514298 deg		Longitude: -107.08184654908766 deg
Norad ID: 38741	Latitude: 1.2305939686456322 deg		Longitude: -72.53650154207646 deg
Norad ID: 38749	Latitude: -0.02851707062707313 deg		Longitude: -57.981821317628494 deg
Norad ID: 38867	Latitude: 0.018371866962407352 deg		Longitude: -52.92992025743055 deg
Norad ID: 38977	Latitude: -5.550836959467256 deg		Longitude: -16.61779776495855 deg
Norad ID: 38991	Latitude: 0.007381203455714049 deg		Longitude: -75.00099156056442 deg
Norad ID: 39008	Latitude: -0.014026599550741582 deg		Longitude: -61.479224241034444 deg
Norad ID: 39035	Latitude: 0.022161301820261048 deg		Longitude: -114.78471805808458 deg
Norad ID: 39078	Latitude: -0.01014555347101302 deg		Longitude: -60.96372557812049 deg
Norad ID: 39120	Latitude: -0.204257184649065 deg		Longitude: -49.80114194793651 deg
Norad ID: 39122	Latitude: 0.030827136758326282 deg		Longitude: -116.77753360468319 deg
Norad ID: 39127	Latitude: -0.006068662581925369 deg		Longitude: -107.27196605046754 deg
Norad ID: 39168	Latitude: -0.020665505828066047 deg		Longitude: -52.51712309668343 deg
Norad ID: 39172	Latitude: -0.04390968328533637 deg		Longitude: -40.45851296462242 deg
Norad ID: 39222	Latitude: 0.02800327068465053 deg		Longitude: -135.18753985201303 deg
Norad ID: 39360	Latitude: 0.022582820669754772 deg		Longitude: -116.15246968516828 deg
Norad ID: 39481	Latitude: -0.027048054974274812 deg		Longitude: -87.17389478560847 deg
Norad ID: 39504	Latitude: -2.880001497666972 deg		Longitude: -40.958483794767886 deg
Norad ID: 39616	Latitude: 0.0005951254000776731 deg		Longitude: -74.00944403070639 deg
Norad ID: 40271	Latitude: 0.011913655902623395 deg		Longitude: -95.05754036552203 deg
Norad ID: 40272	Latitude: -0.03794703512398794 deg		Longitude: -71.79435253639586 deg
Norad ID: 40333	Latitude: 0.012577051140860062 deg		Longitude: -99.22312037454388 deg
Norad ID: 40384	Latitude: -0.017539964384869346 deg		Longitude: -55.01466441773954 deg
Norad ID: 40425	Latitude: -0.007634546360418077 deg		Longitude: -114.88429563711287 deg
Norad ID: 40663	Latitude: 0.022044247995468617 deg		Longitude: -102.872804375642 deg
Norad ID: 40664	Latitude: 0.007604474941141411 deg		Longitude: -78.73539837740086 deg
Norad ID: 40733	Latitude: -0.03016403498242516 deg		Longitude: -69.97789738546857 deg
Norad ID: 40874	Latitude: -0.022835499572602284 deg		Longitude: -55.52662257605129 deg
Norad ID: 40941	Latitude: -0.03364345186082047 deg		Longitude: -80.99585440957121 deg
Norad ID: 40946	Latitude: 0.7054973967882994 deg		Longitude: -113.08940002545731 deg
Norad ID: 41036	Latitude: -0.033680597496529865 deg		Longitude: -15.007875114076166 deg
Norad ID: 41382	Latitude: -0.09249118745623844 deg		Longitude: -65.17215120881255 deg
Norad ID: 41581	Latitude: 0.003038697134704464 deg		Longitude: -95.10198434987774 deg
Norad ID: 41589	Latitude: -0.009582331298315342 deg		Longitude: -116.98376198499822 deg
Norad ID: 41592	Latitude: -0.014856971498579771 deg		Longitude: -61.33654542419517 deg
Norad ID: 41866	Latitude: -0.02943040910500167 deg		Longitude: -104.7173366724056 deg
Norad ID: 41893	Latitude: 0.0027179560675264372 deg		Longitude: -97.05571623330644 deg
Norad ID: 41904	Latitude: 0.03267556187960456 deg		Longitude: -83.95502773416717 deg
Norad ID: 41942	Latitude: -0.004133166602397301 deg		Longitude: -36.02428469823744 deg
Norad ID: 41945	Latitude: -0.006159875835593934 deg		Longitude: -43.201607462078904 deg
Norad ID: 42070	Latitude: 0.020996710335340035 deg		Longitude: -109.88237763837111 deg
Norad ID: 42432	Latitude: -0.010100294146300136 deg		Longitude: -66.89347573161984 deg
Norad ID: 42692	Latitude: -0.017450977428463663 deg		Longitude: -74.85434702743117 deg
Norad ID: 42709	Latitude: 0.024997742336405407 deg		Longitude: -129.1886223809817 deg
Norad ID: 42740	Latitude: -0.018903183795688092 deg		Longitude: -69.95534241301445 deg
Norad ID: 42818	Latitude: -0.0187995476352655 deg		Longitude: -34.473975715704135 deg
Norad ID: 42934	Latitude: -0.03857704938141639 deg		Longitude: -61.01841306529429 deg
Norad ID: 42950	Latitude: -0.018688781176279663 deg		Longitude: -17.98991944705957 deg
Norad ID: 42967	Latitude: 0.021704970746983136 deg		Longitude: -104.92217906471842 deg
Norad ID: 43039	Latitude: -0.01758273829354399 deg		Longitude: -24.7673593733188 deg
Norad ID: 43162	Latitude: 1.59893595135733 deg		Longitude: -159.3676773112051 deg
Norad ID: 43174	Latitude: 0.019958035531016837 deg		Longitude: -20.100629361764277 deg
Norad ID: 43175	Latitude: -0.024034887821107125 deg		Longitude: -47.50587272173566 deg
Norad ID: 43226	Latitude: 0.05164666503441941 deg		Longitude: -92.49175293670994 deg
Norad ID: 43228	Latitude: -0.040402108704098126 deg		Longitude: -30.002889874663303 deg
Norad ID: 43272	Latitude: -0.035115124661193826 deg		Longitude: -33.56628840944366 deg
Norad ID: 43562	Latitude: 0.002005887935119924 deg		Longitude: -62.9811875086805 deg
Norad ID: 44333	Latitude: 0.03486966130819242 deg		Longitude: -100.84073471578525 deg
Norad ID: 46114	Latitude: 0.03281571330339967 deg		Longitude: -124.95788441277884 deg
Norad ID: 47240	Latitude: 0.02154579105877972 deg		Longitude: -85.1604582441836 deg
Norad ID: 48838	Latitude: 0.002959388391724234 deg		Longitude: -85.1538458002651 deg
Norad ID: 49055	Latitude: -0.01133338650720608 deg		Longitude: -70.07446147484177 deg
Norad ID: 49115	Latitude: 0.46844397505918556 deg		Longitude: -99.42326500703209 deg
Norad ID: 49332	Latitude: -0.005431958330851858 deg		Longitude: -67.10290218594018 deg
Norad ID: 49817	Latitude: -0.011249581435876338 deg		Longitude: -111.76497502682773 deg
Norad ID: 51850	Latitude: 0.01633371439021962 deg		Longitude: -137.0012797663394 deg
Norad ID: 52933	Latitude: 0.034250800915123704 deg		Longitude: -138.99177021239365 deg
Norad ID: 53960	Latitude: 0.0009201380858355031 deg		Longitude: -103.09009017113738 deg
Norad ID: 53961	Latitude: 0.05196198550737891 deg		Longitude: -130.92967452141784 deg
Norad ID: 54026	Latitude: 0.032114555633887716 deg		Longitude: -132.99224466189702 deg
Norad ID: 54027	Latitude: 0.026073449114334075 deg		Longitude: -129.0027150676383 deg
Norad ID: 54243	Latitude: 0.02694006278414849 deg		Longitude: -120.97881321742136 deg
Norad ID: 54244	Latitude: 0.009174253420782034 deg		Longitude: -90.9864142972325 deg
Norad ID: 54741	Latitude: 0.01631771778664136 deg		Longitude: -93.06999051797636 deg
Norad ID: 54742	Latitude: 0.008438459636886152 deg		Longitude: -88.97367437989088 deg
Norad ID: 55508	Latitude: -0.009960304627228132 deg		Longitude: -60.97849053147993 deg
Norad ID: 55970	Latitude: -0.02986446817861152 deg		Longitude: -103.0996467302023 deg
Norad ID: 55971	Latitude: 0.010056422744314137 deg		Longitude: -134.90472365766766 deg
Norad ID: 56174	Latitude: 0.0141061372475365 deg		Longitude: -90.98550326578702 deg
Norad ID: 56370	Latitude: -0.015496624880999076 deg		Longitude: -88.99851258740998 deg
Norad ID: 56371	Latitude: 1.6451885735742542 deg		Longitude: -80.80686980120164 deg
Norad ID: 57479	Latitude: 0.014280842059210822 deg		Longitude: -95.225306912271 deg
Norad ID: 57493	Latitude: 0.018934600448207658 deg		Longitude: -126.98241201750311 deg
Norad ID: 60133	Latitude: 0.01446172798351454 deg		Longitude: -75.20460416066207 deg
Norad ID: 61503	Latitude: 0.014323711457394764 deg		Longitude: -77.18576533456836 deg
Norad ID: 62259	Latitude: -0.01442255152553928 deg		Longitude: -85.21251704959029 deg
Norad ID: 64290	Latitude: -0.037179329907385476 deg		Longitude: -120.44150665188192 deg
